Month:Day:Hr:Min:Sec:MSec,Packet number,Element 1, Element 2, Element 3, Element 4
9:30:16:0:11:173,7,0.2559869,0.7444618,-0.6096322,-0.09271439
9:30:16:0:11:232,14,0.2559903,0.7442886,-0.6098235,-0.0928377
9:30:16:0:11:291,22,0.2559848,0.7440284,-0.6101155,-0.09301881
9:30:16:0:11:351,29,0.2559877,0.7440369,-0.6101224,-0.0928978
9:30:16:0:11:410,36,0.2559816,0.7438359,-0.6103519,-0.09301763
9:30:16:0:11:528,50,0.2559212,0.7436548,-0.6105977,-0.09301788
9:30:16:0:11:588,57,0.2559233,0.7435998,-0.6106637,-0.09301864
9:30:16:0:11:647,64,0.2559165,0.7434578,-0.6108304,-0.09307718
9:30:16:0:11:706,72,0.2558621,0.7433552,-0.6109685,-0.09314065
9:30:16:0:11:825,85,0.2557999,0.7433518,-0.6110267,-0.09295712
9:30:16:0:11:884,92,0.2558032,0.7431781,-0.6112176,-0.09308038
9:30:16:0:11:943,99,0.2557387,0.743107,-0.6113313,-0.09307911
9:30:16:0:12:13,107,0.2557324,0.7429056,-0.6115605,-0.09319888
9:30:16:0:12:72,114,0.2557353,0.7429141,-0.6115674,-0.09307788
9:30:16:0:12:131,122,0.2557367,0.7429183,-0.6115709,-0.09301737
9:30:16:0:12:190,129,0.2557414,0.7427488,-0.6117652,-0.09308011
9:30:16:0:12:250,136,0.2557452,0.7425156,-0.6120185,-0.0932646
9:30:16:0:12:309,144,0.255747,0.7423376,-0.6122057,-0.09344835
9:30:16:0:12:368,151,0.2557403,0.7423183,-0.6122509,-0.09332385
9:30:16:0:12:428,158,0.2556859,0.7422154,-0.6123887,-0.0933873
9:30:16:0:12:487,164,0.2556789,0.7420731,-0.6125551,-0.09344579
9:30:16:0:12:546,171,0.2556818,0.7420815,-0.6125621,-0.09332478
9:30:16:0:12:605,177,0.2556172,0.7420102,-0.6126757,-0.09332348
9:30:16:0:12:665,184,0.2556192,0.741955,-0.6127415,-0.09332421
9:30:16:0:12:724,192,0.2556204,0.7418361,-0.6128663,-0.09344669
9:30:16:0:12:783,199,0.2556139,0.7416343,-0.6130949,-0.0935664
9:30:16:0:12:852,207,0.2556282,0.7413095,-0.6134343,-0.09387682
9:30:16:0:12:912,214,0.255609,0.741254,-0.6135105,-0.09386979
9:30:16:0:12:971,221,0.2556236,0.7410522,-0.6137286,-0.09399723
9:30:16:0:13:30,228,0.2555595,0.7409211,-0.6139044,-0.09405713
9:30:16:0:13:90,236,0.2555625,0.7407467,-0.6140946,-0.0941803
9:30:16:0:13:149,243,0.2555554,0.7404209,-0.6144438,-0.09448287
9:30:16:0:13:208,250,0.2555003,0.7403772,-0.6145192,-0.09448507
9:30:16:0:13:267,257,0.2554932,0.7402344,-0.6146851,-0.09454346
9:30:16:0:13:327,264,0.2554966,0.7401833,-0.6147544,-0.0944837
9:30:16:0:13:386,271,0.2554319,0.7399285,-0.6150507,-0.09472647
9:30:16:0:13:445,278,0.2554348,0.7397537,-0.6152407,-0.09484961
9:30:16:0:13:504,286,0.2553705,0.7396224,-0.6154161,-0.09490945
9:30:16:0:13:564,293,0.2553734,0.7394474,-0.615606,-0.09503258
9:30:16:0:13:633,301,0.2553766,0.7392128,-0.615858,-0.0952169
9:30:16:0:13:693,309,0.2553704,0.7391337,-0.6159651,-0.09515355
9:30:16:0:13:751,316,0.255305,0.7389381,-0.6161988,-0.09533504
9:30:16:0:13:811,323,0.2553093,0.7387673,-0.6163922,-0.09539767
9:30:16:0:13:870,330,0.2552449,0.7386357,-0.6165673,-0.09545746
9:30:16:0:13:929,337,0.2552483,0.7385844,-0.6166365,-0.09539769
9:30:16:0:13:988,344,0.2552521,0.7384734,-0.6167678,-0.09539911
